제품명,주성분,이 약의 효능은 무엇입니까?,이 약은 어떻게 사용합니까?,이 약은 어떻게 보관해야 합니까?
암브론정30mg(암브록솔염산염),암브록솔염산염,이 약은 점액분비장애로인한급·만성기관지염|천식성기관지염에사용합니다.,성인은1회1정(30mg)씩|1일3회복용합니다.계속치료시1회1정(30mg)씩|1일2회복용합니다.이 약은 식사와관계없이복용할수있습니다.,습기와빛을 피해 실온에서 보관하십시오
암씨롱큐정,아세트아미노펜|에텐자미드,이 약은 두통|치통|발치(이를뽑음)후동통(통증)|인후(목구멍)통|귀의통증|관절통|신경통|요(허리)통|근육통|견통(어깨결림)|타박통|골절통|염좌통(삔통증)|월경통(생리통)|외상(상처)통의진통과오한|발열시의해열에사용합니다.,성인은1회1정씩|1일3회까지공복을 피하여복용합니다.복용간격은4시간이상으로합니다.,습기와빛을 피해 실온에서 보관하십시오
암펙솔정(암브록솔염산염),암브록솔염산염,이 약은 점액분비장애로인한급·만성기관지염|천식성기관지염에사용합니다.,성인은1회1정(30mg)씩1일3회식사와관계없이복용합니다.계속치료시1회1정(30mg)씩1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
암포젤정(건조수산화알루미늄겔),건조수산화알루미늄겔,이 약은 위.십이지장궤양|위염|위산과다의제산작용및증상의개선에사용합니다.,성인은 1회1~2정(300~600mg)|1일3회식간에복용합니다.연령|증상에따라적절히증감합니다.,상온에서 보관하십시오
앗센액(L아스파르트산L아르기닌수화물),L아스파르트산L아르기닌수화물,이 약은 정신적·신체적기능무력증상의보조요법으로 사용합니다.,19세이상의성인은1회1.0g씩1일2~3회|12~18세는1회1.0g씩1일1~2회식전에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
애니메디콘센트레이트액(폴리크레줄렌액50%),폴리크레줄렌액50%,이 약은 질세균감염|구내염및치육염(잇몸염)에사용합니다.,질세균감염에는 용액을적신거즈를질안에넣고가벼운압력으로해당부위를1~3분간누릅니다.3~4일간격으로두번사용하십시오.구내염및치육염에는 이약을적신면봉등을이용해여러번반복하여발라줍니다.,빛을 피해 실온에서 보관하십시오이약의적용시쓰이는기구등은사용한직후소독할때까지물(경우에따라1~2%탄산수소나트륨을첨가)을담은용기에보관하십시오.
애니존크림(테르비나핀염산염),테르비나핀염산염,이 약은 피부사상균에의한피부진균감염증(족부백선|고부백선(완선)|체부백선)과피티로스포룸올비큘라레균에의한어루러기및피부칸디다증에사용합니다.,1일1~2회환부(질환부위)에바릅니다.질환에따른치료기간은족부백선(발백선증|무좀)인경우1일1회1주|지간(발가락사이)형족부백선(발백선증|무좀)인경우1일2회1주|족저형(발바닥)족부백선(발백선증|무좀)인경우1일2회2주|체부백선|고부백선(대퇴부백선)(완선(사타구니백선))인경우1~2주|피부칸디다증인경우1~2주|어루러기인경우2주간사용합니다.,상온에서 보관하십시오
애니큐어연고,네오마이신황산염|폴리믹신B황산염|바시트라신아연|프라목신염산염,이 약은 베임|창상|화상에의한감염증예방및통증완화에사용합니다.,2세이상은 1일1~3회질환부위에적당량을바릅니다.,습기와빛을 피해 실온에서 보관하십시오
애니클렌액,클로르헥시딘글루콘산염액|디펜히드라민염산염|디부카인염산염|알란토인|나파졸린염산염,이 약은 긁힌상처|베인상처|창상|손및손가락의살균과소독|치질인경우항문살균및소독에사용합니다.,1일수회환부(질환부위)에적당량을바릅니다.,습기와빛을 피해 실온에서 보관하십시오
애니탈삼중정,디아스타제·프로테아제·셀룰라제|메타규산알루민산마그네슘|리파제|탄산수소나트륨|감초가루|침강탄산칼슘|스코폴리아엑스|트리메부틴말레산염,이 약은 소화성궤양에따른다음증상의개선:위산과다|속쓰림|위부불쾌감|위부팽만감|식체(위체)|구역|구토|위통|신트림|소화불량에사용합니다.,성인은1회2정1일3회매식간(식사때와식사때사이에)에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
애니펜시럽(덱시부프로펜),덱시부프로펜,이 약은 급성상기도감염으로인한발열시해열에사용합니다.,생후6개월이상의소아는1회0.4~0.6mL/kg(5~7mg/kg)씩|4~6시간간격으로필요시에복용하며|1일최대4회(28mg/kg)를넘지않습니다.체중이30kg이하인소아에게는1일최대25mL(300mg)을초과하지않습니다.몸무게를알 경우 몸무게에따른용량으로복용하는것이더적절하므로연령대별권장용량은허가사항을참고하십시오.,빛을피해상온(15~25℃)에서보관하십시오.
애니펜정150밀리그람(덱시부프로펜),덱시부프로펜,이 약은 만성다발성관절염|류마티스관절염|관절증|강직척추염|외상및수술후통증성부종또는염증과 염증|통증및발열을수반하는감염증의치료보조에사용합니다.,6세이상의어린이는체중kg당약15mg씩| 1일2~4회분할복용합니다.체중이30kg미만인어린이는1일용량이2정(300mg)을초과해서는안됩니다.성인은1회2정(300mg)을1일2~4회식사시복용합니다.단|1일8정(1|200mg)을초과하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
애니펜정300밀리그램(덱시부프로펜),덱시부프로펜,이 약은 만성다발성관절염|류마티스관절염|관절증|강직척추염|외상및수술후통증성부종또는염증과염증|통증및발열을수반하는감염증의치료보조에사용합니다.,성인은1회1정(300mg)씩| 1일2~4회복용합니다.단|1일4정(1|200mg)을초과하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
애니피론액(L아스파르트산L아르기닌수화물),L아스파르트산L아르기닌수화물,이 약은 정신적·신체적기능무력증상의보조요법으로 사용합니다.,19세이상의성인은1회1.0g씩1일2~3회|12~18세는1회1.0g씩1일1~2회식전에복용합니다.,습기와빛을 피해 실온에서 보관하십시오
애드민정,콜레칼시페롤과립|아스코르브산,이 약은 육체피로|임신·수유기|병중·병후(병을앓는동안이나회복후)의체력저하시|발육기|노년기의비타민D|C의보급과뼈|이의발육불량|구루병의예방에사용합니다.,만8세이상의어린이및성인은1회1정씩|1일2회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
애드민포르테정(콜레칼시페롤과립),콜레칼시페롤과립,이 약은 골다공증치료보조|흡수장애가없는건강한사람에서비타민D결핍질환위험으로부터의예방|구루병의예방에사용합니다.,골다공증치료보조에성인1회1정씩(1|000IU)씩|1일1회복용합니다.흡수장애가없는건강한사람및구루병의예방에성인1회1/2정씩(500IU)|1일1회복용합니다.정제를삼키기어려운유아는숟가락에정제를놓고물에붕해시킨후가능한식사와함께복용합니다.충분한양의물과함께복용합니다.,습기와빛을 피해 실온에서 보관하십시오
애드민플러스정,탄산칼슘|농축콜레칼시페롤(분말형),이 약은 임신ㆍ수유기|발육기|노년기의비타민D의보급과뼈|이의발육불량|구루병의예방에사용합니다.,만8세이상및성인은1회1정|1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
애드빌리퀴겔연질캡슐(이부프로펜),이부프로펜,이 약은 감기로인한발열및동통(통증)|요통|생리통|류마티양관절염|연소성(어리거나젊은나이에나타나는)류마티양관절염|골관절염(퇴행성관절질환)|수술후동통(통증)과두통|편두통|치통|근육통|신경통|강직성척추염|급성통풍|건선(마른비닐증)성관절염|연조직손상(염좌(삠)|좌상(타박상))|비관절류마티스질환(건염(힘줄염)|건초염(힘줄윤활막염)|활액(윤활)낭염)에사용합니다.,성인은류마티양관절염|골관절염|강직성척추염|연조직손상|비관절류마티스질환|급성통풍|건선성관절염에는1회1~3캡슐(200~600mg)씩|1일3~4회|1일최고16캡슐(3|200mg)까지복용할수있으며|연소성(어리거나젊은나이에나타나는)류마티양관절염에는1일체중kg당30~40mg을3~4회분할복용|경증및중등도의동통이나감기에는성인1회1~2캡슐(200~400mg)씩|1일3~4회|편두통에는성인1회1~2캡슐(200~400mg)씩복용하며24시간동안2캡슐을초과하지않습니다.만12세이상청소년은1회1~2캡슐(200~400mg)씩| 1일3~4회복용합니다.체중이30kg미만인경우1일량이500mg을초과해서는안되며공복시복용은 피하는것이바람직합니다.,상온에서 보관하십시오
애드빌정(이부프로펜),이부프로펜,이 약은 감기로인한발열및동통|요통|생리통|류마티양관절염|연소성류마티양관절염|골관절염(퇴행성관절질환)|수술후동통과두통|치통|근육통|신경통|강직성척추염|급성통풍|건선성관절염|연조직손상(염좌|좌상)|비관절류마티스질환(건염|건초염|활액낭염)에사용합니다.,성인은류마티양관절염|골관절염|강직성척추염|연조직손상|비관절류마티스질환|급성통풍|건선성관절염에는1회1~3정(200~600mg)1일3~4회1일최고16정(3|200mg)까지투여할수있으며|연소성류마티양관절염에는1일체중kg당30~40mg을3~4회분할경구투여|경증및중등도의동통이나감기에는성인1회1~2정(200~400mg)1일3~4회복용합니다.11~14세는1회200~250mg|7~10세는1회150~200mg|3~6세는1회100~150mg|1~2세는1회50~100mg을1일3~4회복용합니다.체중이30kg미만인어린이는1일량이500mg을초과해서는안되며공복시투여는피하는것이바람직합니다.,상온에서 보관하십시오
애드원정,비스벤티아민|피리독신염산염|시아노코발라민|토코페롤숙시네이트칼슘|니코틴산아미드,이 약은 육체피로|임신ㆍ수유기|병중ㆍ병후(병을앓는동안이나회복후)의체력저하시비타민B1|B6|B12의보급과신경통|근육통|관절통(요통|어깨결림|오십견등)|손발의저림|눈의피로증상의완화에사용합니다.,15세이상어린이및성인1회2~3정|11~14세어린이는1회1~2정|5~10세어린이는1회1정| 1일1회복용합니다.,습기와빛을 피해 실온에서 보관하십시오
애드칼정,락트산칼슘수화물|글루콘산칼슘수화물|침강탄산칼슘|건조에르고칼시페롤,이 약은 칼슘결핍및기타칼슘보급과임신ㆍ수유기|발육기|노년기의비타민D의보급및뼈|이의발육불량|구루병의예방에사용합니다. ,저녁식사후바로2정을복용하고부족시에는아침|점심식후바로1정씩복용합니다.1일4정을초과하지않습니다.,습기와빛을 피해 실온에서 보관하십시오
